,date,state,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease,Pop,C_,T_,CC_,TT_,C_s,T_s
1319,2020-03-28,AZ,873.0,137.0,8328.0,137.0,7378494.0,1.8567474609317295e-05,1.8567474609317295e-05,0.011831682725499268,0.11286856098276965,0.03119526527964048,0.004220119308899621
1375,2020-03-29,AZ,919.0,46.0,13872.0,5544.0,7378494.0,6.234334540354712e-06,0.0007513728411244897,0.01245511617953474,0.18800584509521862,0.01047432264863841,0.17077621495284306
1431,2020-03-30,AZ,1157.0,238.0,16759.0,2887.0,7378494.0,3.2255904795748296e-05,0.0003912722569131316,0.015680706659109568,0.22713307078653178,0.05419323457339004,0.08893054339265113
1487,2020-03-31,AZ,1289.0,132.0,19371.0,2612.0,7378494.0,1.7889829550583087e-05,0.00035400177868275017,0.017469689614167876,0.2625332486548068,0.03005675194826674,0.08045950098427598
1543,2020-04-01,AZ,1413.0,124.0,21058.0,1687.0,7378494.0,1.6805597456608352e-05,0.0002286374428169217,0.019150249359828713,0.28539699293649895,0.028235130618068753,0.05196599470155956
1599,2020-04-02,AZ,1598.0,185.0,22709.0,1651.0,7378494.0,2.507286717316569e-05,0.00022375839839403543,0.02165753607714528,0.3077728327759025,0.042124993260828386,0.05085705824082682
1655,2020-04-03,AZ,1769.0,171.0,24673.0,1964.0,7378494.0,2.3175461008709906e-05,0.0002661789790707968,0.02397508217801627,0.3343907306829822,0.03893715593298191,0.06049864469108653
1711,2020-04-04,AZ,2019.0,250.0,27160.0,2487.0,7378494.0,3.388225293671039e-05,0.000337060652214395,0.02736330747168731,0.3680967959044217,0.056925666568687014,0.07660902716228728
1767,2020-04-05,AZ,2269.0,250.0,27410.0,250.0,7378494.0,3.388225293671039e-05,3.388225293671039e-05,0.030751532765358355,0.37148502119809274,0.056925666568687014,0.007700947643977411
1823,2020-04-06,AZ,2456.0,187.0,32534.0,5124.0,7378494.0,2.534392519665937e-05,0.0006944506561908162,0.03328592528502429,0.4409300868171743,0.04258039859337788,0.157838622910961
1879,2020-04-07,AZ,2575.0,119.0,33375.0,841.0,7378494.0,1.6127952397874148e-05,0.00011397989887909376,0.0348987205248117,0.4523280767050837,0.02709661728669502,0.02590598787434001
1935,2020-04-08,AZ,2726.0,151.0,34564.0,1189.0,7378494.0,2.0464880773773078e-05,0.00016114399496699463,0.036945208602189014,0.4684424762017832,0.034383102607486955,0.03662570699475657
1991,2020-04-09,AZ,3018.0,292.0,37178.0,2614.0,7378494.0,3.957447143007774e-05,0.0003542728367062438,0.04090265574519678,0.5038697598724076,0.06648917855222643,0.0805211085654278
2047,2020-04-10,AZ,3112.0,94.0,37734.0,556.0,7378494.0,1.2739727104203108e-05,7.53541305312439e-05,0.04217662845561709,0.511405172925532,0.021404050629826317,0.01712690756020576
2103,2020-04-11,AZ,3393.0,281.0,40530.0,2796.0,7378494.0,3.808365230086248e-05,0.000378939116844169,0.04598499368570334,0.5492990846099489,0.0639844492232042,0.08612739845024335
2159,2020-04-12,AZ,3539.0,146.0,42109.0,1579.0,7378494.0,1.978723571503887e-05,0.00021400030954826283,0.04796371725720723,0.5706991155647752,0.033244589276113214,0.048639185319361324
2215,2020-04-13,AZ,3702.0,163.0,43347.0,1238.0,7378494.0,2.2091228914735175e-05,0.00016778491654258985,0.050172840148680745,0.5874776072190341,0.03711553460278393,0.038135092732976134
2271,2020-04-14,AZ,3806.0,104.0,44096.0,749.0,7378494.0,1.4095017221671522e-05,0.00010151122979838433,0.051582341870847905,0.5976287301988726,0.023681077292573793,0.02307203914135632
2327,2020-04-15,AZ,3962.0,156.0,45310.0,1214.0,7378494.0,2.1142525832507286e-05,0.00016453222026066567,0.05369659445409863,0.6140819522249391,0.0355216159388607,0.03739580175915431
